Song,Date,Total Number of Plays for Date
song119,2022-08-11,1
song885,2022-12-02,1
song557,2022-01-02,1
song61,2022-05-26,1
song201,2022-12-06,1
song215,2022-11-19,1
song209,2022-03-03,1
song751,2022-05-13,1
song964,2022-03-26,1
song109,2022-11-27,1
song282,2022-04-16,1
song219,2022-06-21,1
song515,2022-08-30,2
song919,2022-10-01,1
song699,2022-03-01,1
song620,2022-11-21,2
song956,2022-09-12,1
song183,2022-12-09,2
song896,2022-03-19,1
song398,2022-09-27,1
song904,2022-11-07,1
song758,2022-07-15,1
song254,2022-06-17,1
song809,2022-01-25,1
song585,2022-04-14,1
song70,2022-01-25,1
song628,2022-08-17,1
song0,2022-01-15,1
song245,2022-02-19,1
song428,2022-04-22,1
song129,2022-01-10,2
song389,2022-03-29,1
song497,2022-03-30,1
song460,2022-08-14,2
song82,2022-11-16,2
song760,2022-08-06,1
song236,2022-07-25,1
song134,2022-03-12,1
song620,2022-01-12,1
song17,2022-02-06,2
song330,2022-03-11,1
song157,2022-02-13,1
song185,2022-04-23,1
song727,2022-07-08,1
song610,2022-12-18,1
song424,2022-03-14,1
song657,2022-01-20,1
song31,2022-08-07,1
song870,2022-06-20,1
song299,2022-04-23,1
song364,2022-12-17,1
song513,2022-10-29,1
song991,2022-05-12,1
song454,2022-04-06,1
song449,2022-04-29,1
song629,2022-07-19,1
song219,2022-01-19,2
song791,2022-09-09,1
song485,2022-12-24,2
song451,2022-09-01,1
song968,2022-03-10,1
song713,2022-11-13,1
song975,2022-07-15,1
song758,2022-12-21,1
song410,2022-06-23,1
song137,2022-12-29,1
song307,2022-02-18,1
song330,2022-02-02,2
song724,2022-11-02,1
song666,2022-07-17,1
song101,2022-08-22,1
song852,2022-10-07,1
song656,2022-06-29,1
song986,2022-04-25,2
song327,2022-05-04,1
song634,2022-11-10,1
song1,2022-10-04,1
song978,2022-08-06,1
song236,2022-04-08,1
song603,2022-11-25,1
song738,2022-08-10,1
song115,2022-06-12,1
song880,2022-10-21,1
song370,2022-05-27,1
song41,2022-08-16,2
song117,2022-09-30,1
song673,2022-02-10,1
song536,2022-12-20,1
song952,2022-11-21,1
song642,2022-07-13,1
song310,2022-01-18,1
song144,2022-06-19,1
song328,2022-04-10,1
song887,2022-01-16,1
song332,2022-11-18,1
song416,2022-04-24,2
song442,2022-10-24,1
song256,2022-01-09,1
song914,2022-05-06,1
song638,2022-06-13,1
song823,2022-09-11,1
song885,2022-03-09,1
song6,2022-06-08,1
song78,2022-04-29,1
song435,2022-08-04,2
song648,2022-11-11,1
song821,2022-09-01,1
song978,2022-05-04,1
song410,2022-03-24,2
song690,2022-01-16,1
song201,2022-08-19,1
song695,2022-05-06,1
song295,2022-05-01,2
song673,2022-05-27,1
song650,2022-09-30,1
song680,2022-12-08,1
song959,2022-11-16,1
song612,2022-08-26,2
song440,2022-12-13,1
song364,2022-05-09,1
song908,2022-09-25,1
song592,2022-07-25,1
song633,2022-09-30,1
song443,2022-07-20,1
song229,2022-12-14,1
song109,2022-01-09,1
song797,2022-10-17,1
song992,2022-12-01,3
song764,2022-02-05,1
song800,2022-05-17,1
song307,2022-10-27,1
song257,2022-08-29,2
song314,2022-04-17,2
song864,2022-12-15,1
song561,2022-10-07,1
song438,2022-12-25,1
song959,2022-06-17,1
song569,2022-09-20,1
song675,2022-05-06,1
song346,2022-03-24,1
song864,2022-07-12,1
song825,2022-07-25,1
song423,2022-03-12,1
song30,2022-04-13,1
song221,2022-11-15,1
song147,2022-11-16,2
song268,2022-11-26,1
song416,2022-10-25,1
song419,2022-07-04,1
song747,2022-09-13,1
song584,2022-05-22,2
song96,2022-11-18,1
song956,2022-05-16,1
song823,2022-11-24,1
song382,2022-10-24,1
song572,2022-09-22,1
song531,2022-10-27,1
song1,2022-12-29,1
song819,2022-01-22,1
song159,2022-12-01,1
song920,2022-10-07,1
song744,2022-02-20,1
song786,2022-01-18,1
song990,2022-02-17,1
song43,2022-03-05,1
song106,2022-04-22,1
song79,2022-01-22,1
song788,2022-03-23,1
